"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cart UI","0","Shopping Cart","1","0","Remove from cart","0"
"0","Catalog UI","0","Product Browsing","1","0","Product navigation","0"
"0","Authentication UI","0","Login","1","0","Navigation","0"
"0","Authentication UI","0","Registration","2","0","Registration validation","0"
"0","Auth","0","Registration & Login","3","0","Registration","0"
"0","Auth","0","Registration & Login","3","0","Login","0"
"0","Cart","0","Shopping Cart","1","0","Remove from cart","0"
"0","Cart UI","0","Shopping Cart","1","0","Add to cart","0"
"0","Products","0","Product Catalog","4","0","Browse catalog","0"
"0","Catalog UI","0","Product Browsing","2","0","Category filter","0"
"0","Cart UI","0","Shopping Cart","2","0","View cart","0"
"0","Orders","0","Order Lifecycle","1","0","View orders","0"
"0","Authentication UI","0","Registration","1","0","Successful registration","0"
"0","Orders","0","Order Lifecycle","2","0","Payment","0"
"0","Authentication UI","0","Login","2","0","Login validation","0"
"0","Products","0","Product Catalog","4","0","Admin product management","0"
"0","Catalog UI","0","Product Browsing","1","0","View catalog","0"
"0","Authentication UI","0","Registration","1","0","Navigation","0"
"0","Cart","0","Shopping Cart","2","0","View cart","0"
"0","Cart","0","Shopping Cart","2","0","Add to cart","0"
"0","Authentication UI","0","Login","1","0","Successful login","0"
"0","Orders","0","Order Lifecycle","2","0","Place order","0"
"0","Order Flow UI","0","End-to-End Purchase","1","0","Full purchase flow","0"
"0","Authentication UI","0","Login","1","0","Logout","0"
"0","Cart","0","Shopping Cart","1","0","Update cart","0"
"0","Order Flow UI","0","End-to-End Purchase","1","0","Profile top-up UI","0"
"0","Order Flow UI","0","End-to-End Purchase","1","0","Payment failure simulation","0"
