"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27738","Remove item from cart → cart becomes empty","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.cart.CartUiTest","com.demoshop.qa.ui.cart.CartUiTest","removeFromCart_cartIsEmpty"
"","13808","Click product card → navigates to product detail page","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.catalog.CatalogUiTest","com.demoshop.qa.ui.catalog.CatalogUiTest","catalog_clickProductCard_opensProductPage"
"","12985","Login page has link to register","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.LoginUiTest","com.demoshop.qa.ui.auth.LoginUiTest","loginPage_hasRegisterLink"
"","17388","Register with short password → HTML5 validation or server error","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.RegisterUiTest","com.demoshop.qa.ui.auth.RegisterUiTest","register_shortPassword_isRejected"
"","1369","POST /auth/register → 200, returns JWT token and USER role","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.auth.AuthApiTest","com.demoshop.qa.api.auth.AuthApiTest","register_success"
"","3173","POST /auth/login with wrong password → 401/400","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.auth.AuthApiTest","com.demoshop.qa.api.auth.AuthApiTest","login_wrongPassword_returns4xx"
"","664","DELETE /cart/items/{id} → item removed from cart","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.cart.CartApiTest","com.demoshop.qa.api.cart.CartApiTest","removeItem_success"
"","31602","Add product to cart → cart shows 1 item, total updated","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.cart.CartUiTest","com.demoshop.qa.ui.cart.CartUiTest","addToCart_showsItemInCart"
"","89","GET /products/{id} with non-existent id → 404","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.products.ProductApiTest","com.demoshop.qa.api.products.ProductApiTest","getProduct_notFound_returns404"
"","15275","Click 'All' after category filter → all products shown","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.catalog.CatalogUiTest","com.demoshop.qa.ui.catalog.CatalogUiTest","catalog_allFilter_showsAllProducts"
"","26236","New user's cart is empty","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.cart.CartUiTest","com.demoshop.qa.ui.cart.CartUiTest","newUser_cartIsEmpty"
"","142","GET /products/{id} → 200, returns product details","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.products.ProductApiTest","com.demoshop.qa.api.products.ProductApiTest","getProduct_byId_returns200"
"","637","GET /orders → returns list of user's orders","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.orders.OrderApiTest","com.demoshop.qa.api.orders.OrderApiTest","getOrders_returnsUserOrders"
"","24025","Register with valid data → auto-logged in, redirected to catalog","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.RegisterUiTest","com.demoshop.qa.ui.auth.RegisterUiTest","register_validData_redirectsToCatalog"
"","650","POST /orders/{id}/pay?simulateFailure=true → order moves to CANCELLED","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.orders.OrderApiTest","com.demoshop.qa.api.orders.OrderApiTest","payOrder_simulateFailure_cancelled"
"","12454","Unauthenticated user visits cart → redirected to login","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.cart.CartUiTest","com.demoshop.qa.ui.cart.CartUiTest","cart_unauthenticated_redirectsToLogin"
"","28916","Login with wrong password → error message shown","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.LoginUiTest","com.demoshop.qa.ui.auth.LoginUiTest","login_wrongPassword_showsError"
"","3555","DELETE /products/{id} as ADMIN → 200/204","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.products.ProductApiTest","com.demoshop.qa.api.products.ProductApiTest","deleteProduct_asAdmin_succeeds"
"","384","POST /products as ADMIN → 200/201, creates product","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.products.ProductApiTest","com.demoshop.qa.api.products.ProductApiTest","createProduct_asAdmin_succeeds"
"","2108","POST /products without auth → 401/403","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.products.ProductApiTest","com.demoshop.qa.api.products.ProductApiTest","createProduct_unauthenticated_returns401"
"","14877","Filter by Electronics → only Electronics products shown","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.catalog.CatalogUiTest","com.demoshop.qa.ui.catalog.CatalogUiTest","catalog_filterByElectronics_showsOnlyElectronics"
"","18034","Catalog page loads with products visible","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.catalog.CatalogUiTest","com.demoshop.qa.ui.catalog.CatalogUiTest","catalog_loadsWithProducts"
"","13021","Register page has link back to login","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.RegisterUiTest","com.demoshop.qa.ui.auth.RegisterUiTest","registerPage_hasLoginLink"
"","17579","Login with unknown email → error message shown","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.LoginUiTest","com.demoshop.qa.ui.auth.LoginUiTest","login_unknownEmail_showsError"
"","3391","GET /cart → empty cart for new user","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.cart.CartApiTest","com.demoshop.qa.api.cart.CartApiTest","getCart_newUser_returnsEmpty"
"","610","POST /cart/items with quantity > stock → 400/409","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.api.cart.CartApiTest","com.demoshop.qa.api.cart.CartApiTest","addItem_exceedsStock_returns4xx"
"","24892","Login with valid credentials → redirected to catalog, name in navbar","","2026-07-04","passed","2026-07-04","","com.demoshop.qa.ui.auth.LoginUiTest","com.demoshop.qa.ui.auth.LoginUiTest","login_validCredentials_redirectsToCatalog"
